model_type,stage,learning_rate,train_mae,validation_mae,test_mae
gradient_boosting,190,0.03,29.67864759170612,40.0610489202203,39.88703878598556
gradient_boosting,191,0.03,29.626317022979244,40.086439582654016,39.85241379952438
gradient_boosting,192,0.03,29.590530983857015,40.042943829219624,39.852570870345296
gradient_boosting,193,0.03,29.578664867626394,40.05666025126772,39.86978560355003
gradient_boosting,194,0.03,29.530907101982585,40.05644792347109,39.83687045702032
gradient_boosting,195,0.03,29.486336087821126,40.05007879589479,39.80844544689215
gradient_boosting,196,0.03,29.42874698952051,40.01099062375922,39.766342834089954
gradient_boosting,197,0.03,29.364329262861506,39.99071926566171,39.74167198652094
gradient_boosting,198,0.03,29.334559825235136,39.98337413057453,39.732285289894754
gradient_boosting,199,0.03,29.28744170926277,39.9546408493187,39.70286733792483
gradient_boosting,200,0.03,29.24709927241744,39.91975885992753,39.68553406825221
gradient_boosting,201,0.03,29.20824541480371,39.88305059293401,39.64224741095213
gradient_boosting,202,0.03,29.184886713153997,39.873519028793034,39.641048100520415
gradient_boosting,203,0.03,29.164322558388175,39.87363454363176,39.62731710559642
gradient_boosting,204,0.03,29.105178333387403,39.82780420640752,39.592298833124985
gradient_boosting,205,0.03,29.069342019954586,39.84770599709062,39.56669814792093
gradient_boosting,206,0.03,29.04729001375547,39.84925540438429,39.560249338091424
gradient_boosting,207,0.03,29.02017014115855,39.831433332076315,39.53742556564733
gradient_boosting,208,0.03,28.9860444196808,39.81951977020342,39.515654309410074
gradient_boosting,209,0.03,28.97128205309784,39.82999247920206,39.52245049611804
gradient_boosting,210,0.03,28.925014991411274,39.827431409164056,39.49923626711069
gradient_boosting,211,0.03,28.897986847873707,39.81746200525832,39.481703759821194
gradient_boosting,212,0.03,28.847949625043295,39.783908338170505,39.45435553698093
gradient_boosting,213,0.03,28.80271128815034,39.75469469199746,39.42757163767346
gradient_boosting,214,0.03,28.76063260791013,39.758419537840176,39.40713062404777
gradient_boosting,215,0.03,28.72502232822336,39.77760428707583,39.460584263555155
gradient_boosting,216,0.03,28.68504424485063,39.74879683568994,39.4568912319283
gradient_boosting,217,0.03,28.669602582696655,39.73993222315981,39.44614220536325
gradient_boosting,218,0.03,28.649852040834663,39.70100434115504,39.44877586399078
gradient_boosting,219,0.03,28.622471577276123,39.69919528607013,39.4279395953719
gradient_boosting,220,0.03,28.59382195062299,39.68590614874406,39.40822864652402
gradient_boosting,221,0.03,28.544053173628136,39.629174383470044,39.37541972612194
gradient_boosting,222,0.03,28.508090556684287,39.615760105545405,39.35270537181874
gradient_boosting,223,0.03,28.490154167858805,39.60629290220357,39.33583039451876
gradient_boosting,224,0.03,28.449697926101383,39.5739938670006,39.327046227773515
gradient_boosting,225,0.03,28.430293917907616,39.568309292521775,39.33510167920092
gradient_boosting,226,0.03,28.419983325537462,39.582649564890595,39.33627475756007
gradient_boosting,227,0.03,28.368575997433894,39.532827340105484,39.309334242793526
gradient_boosting,228,0.03,28.341289244221223,39.508026676515385,39.291065621832544
gradient_boosting,229,0.03,28.310304667149474,39.47909900852193,39.267794411726726
gradient_boosting,230,0.03,28.270965591936964,39.453001485507876,39.273289066958284
gradient_boosting,231,0.03,28.246482011902494,39.48454479958736,39.32451010873367
gradient_boosting,232,0.03,28.212214112205547,39.50243205648416,39.3099772684092
gradient_boosting,233,0.03,28.168657280353678,39.46465650993681,39.302726852893585
gradient_boosting,234,0.03,28.1558332072416,39.46782354767872,39.30474950971151
gradient_boosting,235,0.03,28.107699717800163,39.4277324937035,39.27381366015482
