structure_key,name,smiles,formula,primary_inchikey,n_rows,available_phases,available_phase_coarse,temperature_min_K,temperature_max_K,pressure_min_kPa,pressure_max_kPa,cp_min,cp_max,cp_mean,cp_median
inchikey::XOKSLPVRUOBDEW-CIUDSAMLSA-N,(-)-trans-pinane,C[C@H]1CC[C@H]2C[C@@H]1C2(C)C,C10H18,XOKSLPVRUOBDEW-CIUDSAMLSA-N,11,liquid,liquid,258.1,309.1,101.325,101.325,227.6,257.4,242.3454545454546,242.3
inchikey::XMGQYMWWDOXHJM-SNVBAGLBSA-N,(S)-1-methyl-4-(1-methylethenyl)cyclohexene,C=C(C)[C@@H]1CC=C(C)CC1,C10H16,XMGQYMWWDOXHJM-SNVBAGLBSA-N,11,liquid,liquid,260.1,310.0,101.325,101.325,240.3,262.5,251.35454545454547,251.3
inchikey::GHMLBKRAJCXXBS-UHFFFAOYSA-N,"1,3-benzenediol",Oc1cccc(O)c1,C6H6O2,GHMLBKRAJCXXBS-UHFFFAOYSA-N,11,liquid|solid,liquid|solid,233.0,363.0,101.325,101.325,103.9,262.9,173.8,145.8
inchikey::XUCMDLYIYOXEBF-UHFFFAOYSA-N,"1,3-diethylbarbituric acid",CCN1C(=O)CC(=O)N(CC)C1=O,C8H12N2O3,XUCMDLYIYOXEBF-UHFFFAOYSA-N,11,solid,solid,268.15,310.15,101.325,101.325,223.4,259.8,241.21818181818182,242.1
inchikey::HXKKHQJGJAFBHI-UHFFFAOYSA-N,1-amino-2-propanol,CC(O)CN,C3H9NO,HXKKHQJGJAFBHI-UHFFFAOYSA-N,11,liquid,liquid,303.15,353.15,101.0,101.0,209.0,230.0,219.36363636363637,218.0
inchikey::RURVFJMRQDXKCP-UHFFFAOYSA-M,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",C[n+]1ccn(Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)C(F)F,C13H14F4N2O3S,RURVFJMRQDXKCP-UHFFFAOYSA-M,11,liquid|solid,liquid|solid,278.51,355.09,101.325,101.325,393.57,540.53,476.6412781829091,509.5128398864
inchikey::OHZAHWOAMVVGEL-UHFFFAOYSA-N,"2,2'-bithienyl",c1csc(-c2cccs2)c1,C8H6S2,OHZAHWOAMVVGEL-UHFFFAOYSA-N,11,solid,solid,263.15,300.15,101.325,101.325,175.4,218.1,190.52727272727273,189.3
inchikey::SEBPXHSZHLFWRL-UHFFFAOYSA-N,"2,2,5,7,8-pentamethylchroman-6-ol",Cc1c(C)c2c(c(C)c1O)CCC(C)(C)O2,C14H20O2,SEBPXHSZHLFWRL-UHFFFAOYSA-N,11,solid,solid,298.15,348.15,101.325,101.325,315.3,385.2,350.44545454545454,357.3
inchikey::YFNKIDBQEZZDLK-UHFFFAOYSA-N,"2,5,8,11-tetraoxadodecane",COCCOCCOCCOC,C8H18O4,YFNKIDBQEZZDLK-UHFFFAOYSA-N,11,liquid,liquid,303.15,353.15,101.0,101.0,359.0,382.0,371.6363636363636,371.0
inchikey::UEEJHVSXFDXPFK-UHFFFAOYSA-N,"2-(N,N-dimethylamino)ethanol",CN(C)CCO,C4H11NO,UEEJHVSXFDXPFK-UHFFFAOYSA-N,11,liquid,liquid,303.15,353.15,101.0,101.0,213.0,226.0,220.54545454545453,222.0
