,SHAP_NumValenceElectrons,SHAP_HeavyAtomCount,SHAP_LabuteASA,SHAP_Kappa1,SHAP_NumRotatableBonds,SHAP_MolLogP,SHAP_TPSA,SHAP_NumHAcceptors,SHAP_FractionCSP3,SHAP_HeteroAtomFraction
1818,-65.70291385940338,-43.48540949262009,-35.33324280175414,-34.555125633566306,-15.057415476165508,-5.8252385594508445,-2.4266977766354043,-1.1195613365988808,-1.2043928556197951,3.7124016203852133
1649,-49.852806225285015,-33.12341719104415,-20.933387905092776,-16.433413438594197,-7.358434351933124,-2.5747461990383824,0.6592862657831673,-0.14828359844403152,9.168992611496979,7.522315435129505
1832,-39.141099809908674,-24.275345921254154,-14.241977865478521,-20.094469441952448,-12.455588809736193,-2.09723201018855,1.0514855217428765,-0.1722919661830863,-1.707275949179658,7.137072781713342
1092,32.82251237790833,16.887725627708548,5.290431420212719,46.71819449937751,1.7009969288875275,-0.12156503411887903,-2.207677966315032,-2.5576884275860943,-3.278703562927546,3.0482297732404353
1623,-61.82341612205319,-39.766299990012236,-30.099688226323426,-25.85889036522648,-14.057460893083514,-3.2652119622615965,2.641561233800496,-0.5310917975597811,8.023454119059584,5.1138566199523705
1253,-62.90774295322136,-41.52567216855547,-32.845583864405256,-27.086840289191073,-10.611541340883335,-3.6364522326642237,2.371307842693544,-0.5498872526631501,-0.3167834795239904,4.471643702462304
1373,-27.893840043639077,-25.679249384108267,-19.37050657918993,-4.221762305278784,9.226242209754655,2.3904931857447034,5.220072870180202,1.1707479542993073,11.991903368587954,0.5963342438318217
761,-60.93002993070452,-41.963610527990305,-32.19713729478627,-21.945470502332004,-15.090203809803883,-5.255767979261115,-2.641847138279886,-1.2161217910879547,-16.143922091606274,-12.892619968364441
328,10.651825517702578,0.16719477385834003,-2.3024009056368864,12.504977509631082,-0.049291419481726405,-1.8248757169036507,3.351390150497725,2.1406252473215455,6.807595507811371,6.238446474913092
1467,27.580657203690595,2.0504174522745022,0.8714344367568924,43.118751146593745,52.17525349987578,17.1626570566861,-2.63569838215754,-3.0653837722782824,16.581799580098654,9.430531967347852
164,24.925471373982813,10.617811668604617,0.4965339812146318,43.173480450657024,43.55411020551311,1.850938083506763,0.272577854871242,0.3977270993761369,16.08534277822033,7.425438067540226
613,453.09223994763533,325.6221650918274,257.8962384218459,151.18731857298357,37.4280970215183,70.17120142591101,10.731146364574334,25.61483916386041,-18.31922659930771,6.203958956430518
317,-12.553143875867427,-9.578531488676852,-4.615314705860797,-20.227828875863604,-15.710359004862712,-0.5973717683617502,-0.07789439259069697,-2.627129891449735,8.055955310853335,5.960663855468136
78,51.80468573930669,15.56301009894868,3.812434560618086,46.923095445172166,41.93111988280402,-4.354845760038641,0.6777941440443153,0.25974856595423784,19.28643500039996,6.398007085871559
389,-16.609452973392436,-7.278717917588412,-4.292073583469716,-2.329590464718804,-13.498434835647489,-0.3403361881621719,-0.0014043885599350225,0.27043442982752375,-21.134353856488037,2.272956663270624
436,-19.999592727228492,-10.3526143148649,-6.917604489167216,-22.76081804604244,-16.4957748070455,-4.185415728080967,-5.176001956851868,-0.514264097130095,-20.7741503072373,-0.060194997432727354
2001,-52.441389450114464,-35.43697896113397,-27.633886106690124,-19.081985951073168,-11.047040970662009,-5.5447504408424795,0.5702281081252618,-1.0382176516597281,5.6493426920326835,3.501762096486496
421,57.61096303989128,68.96286447552619,39.33662281760955,26.039731058331242,-6.736545317652572,1.8956446168469272,-0.12501264018621303,-0.4023971371360874,-8.083694517666729,8.347616028521356
1354,-58.187686018967604,-42.66768062482562,-22.017654081812488,-25.577496628278308,-15.33189909560426,-2.699174700016134,-2.5698058437717863,-2.7232759960542654,8.816962714714439,-11.008773629093998
887,-41.47576903432258,-28.263201546785947,-20.34475815320707,-27.618847318593385,-13.4633938545636,-3.072663978167617,-1.3244730778290073,0.23152456828014562,-3.141902959399164,-1.1147226972183655
1452,2.088385294785989,-6.1932188701519895,-6.630042954964957,7.480506109082429,11.293229790910713,-1.9915288278472216,2.5150595800225783,0.8773277425830455,8.521692445933072,5.85098430374346
880,-61.0520617045573,-40.04682750100487,-31.867932538093307,-30.020119409104858,-14.796657073646843,-5.827622112997913,-0.8042506869534202,-0.8464187231917996,-14.853217200724014,-4.682906843127585
1709,-52.417281967896244,-34.890647858268736,-23.519084795870405,-19.881342807087027,-12.076269974327516,-2.2007183290904786,-2.6094644246477605,-2.911003614658257,0.9179177083909691,3.865964514051485
628,251.97903077448012,192.64414849399847,127.71204634982692,76.60627734911814,-35.1377952604601,-8.269550008526926,3.0536477706384733,5.437270057433057,-0.011538841208918118,6.827654498204592
1691,-38.11954302076895,-31.888313965048734,-31.244204462996993,-18.465643493271592,-12.65123315196343,-5.3470201131717765,-6.149566870254279,-4.153945075981228,7.221297819867761,-4.848696275448342
1708,-63.4263643549682,-42.230246776639994,-33.31179975654942,-27.2830774654741,-11.513373407425464,-4.996877459271792,-1.6710039764718843,-0.8851599531451451,-0.8282678779489814,4.158720949741078
1501,-39.63214039970507,-28.049064230677384,-19.19087202982596,-22.184347120648475,-13.025438927460403,-3.772202709556561,0.5698332029381404,-0.4042088827903762,9.830313479200193,4.771667874043298
2013,-53.19580561972013,-29.299280631378483,-22.944737468758436,-18.098432055390393,-9.517304612896183,-3.811224682700445,-0.4168345534913174,-0.8650745265299716,0.7997260957389364,3.79158394130595
1626,-36.20719368280146,-26.34618540679649,-14.02840308303781,-10.930877146581336,-9.210599467370201,0.12225998167518252,3.739300843557583,0.07536919751879109,8.678435845523563,5.856205313842034
235,-2.0593555292803707,-6.466801673003782,-6.9074563758784535,-9.10727615710813,-11.425172556183071,-3.7592675571882253,-4.12383887778121,0.4121858215902513,4.925637629444929,0.5289545820784078
547,116.2304312254303,98.05228116575333,124.44907130324387,66.44756778878657,-30.055080472299608,-13.255070299405643,12.782786190440552,-6.448152917083999,-26.706222597254907,-15.867312704132539
1617,-42.82732097957295,-33.71375161107399,-25.071649669309853,-18.070882654815456,0.22437189008834066,-4.585366287250917,-4.073703368313385,-3.331121102972892,8.206192226661686,3.812441145052821
2045,-61.82404221931389,-41.20288214052545,-31.418686760453898,-25.183663975779776,-15.197809106298992,-3.5446170554272847,-1.486288481255897,-0.8221711006732668,-13.963575404453913,-7.742991877248746
1574,-61.566879750116556,-41.5308364157483,-35.68634509743705,-28.988360397186344,-11.443618594825027,-2.1783370139977203,-2.2962984364381143,-2.556316301445182,9.93974499696003,3.5317779382122727
489,150.10830625362928,104.32156036034077,63.029064382584885,33.685544922093875,-16.193648036210856,-4.653107910448332,-4.135763631025678,-6.298303042241276,5.061065579374383,3.5657018764377377
