model_type,stage,learning_rate,train_mae,validation_mae,test_mae
gradient_boosting,211,0.03,29.638800444860678,38.95256754481304,39.16834188613017
gradient_boosting,212,0.03,29.598378982482252,38.93807238373055,39.152611447135634
gradient_boosting,213,0.03,29.575557629770127,38.946946860118175,39.137650816453956
gradient_boosting,214,0.03,29.526542728084653,38.92960241865078,39.11451183489528
gradient_boosting,215,0.03,29.50710278268649,38.934132580967805,39.10221845113948
gradient_boosting,216,0.03,29.46528020068555,38.90789313436942,39.08010056892612
gradient_boosting,217,0.03,29.425560180093218,38.89485132352615,39.0984521522065
gradient_boosting,218,0.03,29.396835227988873,38.884786208575356,39.08941417874269
gradient_boosting,219,0.03,29.35530732943966,38.85266587122584,39.05632907204387
gradient_boosting,220,0.03,29.325289560774777,38.92296340101897,39.19599790300657
gradient_boosting,221,0.03,29.28069214618886,38.88391628633306,39.20250393119469
gradient_boosting,222,0.03,29.26252258162656,38.887453679416105,39.19671520526395
gradient_boosting,223,0.03,29.230386747478224,38.85941723813864,39.19849702357552
gradient_boosting,224,0.03,29.209031455872978,38.86130820473175,39.17669596676849
gradient_boosting,225,0.03,29.177036092808017,38.870643770503975,39.17511170611397
gradient_boosting,226,0.03,29.14715081450716,38.85021567730233,39.169827211843305
gradient_boosting,227,0.03,29.119102132727235,38.842434009581204,39.14672818212926
gradient_boosting,228,0.03,29.064804473270197,38.806503531055064,39.104026773509545
gradient_boosting,229,0.03,29.03865738803195,38.77893069156502,39.08584754606962
gradient_boosting,230,0.03,28.996301427853133,38.76092148398304,39.07146783036222
gradient_boosting,231,0.03,28.977014983027132,38.798760710966555,39.12312859216689
gradient_boosting,232,0.03,28.95275890670073,38.7924414022448,39.10950118545444
gradient_boosting,233,0.03,28.945161545137353,38.82808150494107,39.115577930190135
gradient_boosting,234,0.03,28.930433144787347,38.84137128572798,39.11805629920635
gradient_boosting,235,0.03,28.885006236619407,38.81426834929042,39.08795479813841
