name,smiles,group,formula,molecular_weight,rotatable_bonds,heat_capacity,canonical_smiles
2-methyl-3-hexanol,CCCC(O)C(C)C,NIST_XML_SetB,C7H16O,116.203999999999,3,327.4,CCCC(O)C(C)C
ethyl decanoate,CCCCCCCCCC(=O)OCC,NIST_XML_SetB,C12H24O2,200.321999999999,9,403.5,CCCCCCCCCC(=O)OCC
2-isopropylaminoethanol,CC(C)NCCO,NIST_XML_SetB,C5H13NO,103.164999999999,3,260.1,CC(C)NCCO
N-octyl-3-methylpyridinium tetrafluoroborate,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,NIST_XML_SetB,C14H24BF4N,293.157,7,450.5,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F
1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C18H31F6N3O4S2,531.585,13,820.2,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1-chlorononane,CCCCCCCCCCl,NIST_XML_SetB,C9H19Cl,162.704,7,296.43914492,CCCCCCCCCCl
propylferrocene,CCCc1ccc[cH-]1.[Fe+2].c1cc[cH-]c1,NIST_XML_SetB,C13H16Fe,228.116,2,319.5,CCCc1ccc[cH-]1.[Fe+2].c1cc[cH-]c1
2-phenyl-1-propanol,CC(CO)c1ccccc1,NIST_XML_SetB,C9H12O,136.194,2,273.33529686,CC(CO)c1ccccc1
2-methylaniline,Cc1ccccc1N,NIST_XML_SetB,C7H9N,107.156,0,217.16,Cc1ccccc1N
di(2-aminoethyl)amine,NCCNCCN,NIST_XML_SetB,C4H13N3,103.169,4,269.5,NCCNCCN
2-hydroxy-5-allylanisole,C=CCc1ccc(O)c(OC)c1,NIST_XML_SetB,C10H12O2,164.203999999999,3,322.9,C=CCc1ccc(O)c(OC)c1
undecane,CCCCCCCCCCC,NIST_XML_SetB,C11H24,156.313,8,343.98,CCCCCCCCCCC
"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",C[n+]1ccn(Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)C(F)F,NIST_XML_SetB,C13H14F4N2O3S,354.325,4,509.5128398864,C[n+]1ccn(Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)C(F)F
benzophenone,O=C(c1ccccc1)c1ccccc1,NIST_XML_SetB,C13H10O,182.221999999999,2,288.1,O=C(c1ccccc1)c1ccccc1
isopropylbenzene,CC(C)c1ccccc1,NIST_XML_SetB,C9H12,120.194999999999,1,214.746,CC(C)c1ccccc1
1-butoxy-2-propanol,CCCCOCC(C)O,NIST_XML_SetB,C7H16O2,132.203,5,315.5,CCCCOCC(C)O
"1,4-dimethylpiperazine",CN1CCN(C)CC1,NIST_XML_SetB,C6H14N2,114.192,0,216.5,CN1CCN(C)CC1
"1,4-dioxane",C1COCCO1,NIST_XML_SetB,C4H8O2,88.106,0,151.0,C1COCCO1
methyl 3-thiopheneacetate,COC(=O)Cc1ccsc1,NIST_XML_SetB,C7H8O2S,156.206,2,250.6,COC(=O)Cc1ccsc1
3-heptanol,CCCCC(O)CC,NIST_XML_SetB,C7H16O,116.204,4,317.4,CCCCC(O)CC
1-hexyl-4-cyanopyridinium bis(trifluoromethylsulfonyl)imide,CCCCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C14H17F6N3O4S2,469.429,7,633.0,CCCCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2-(2-methoxyethoxy)ethanol,COCCOCCO,NIST_XML_SetB,C5H12O3,120.147999999999,5,267.4,COCCOCCO
1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N,NIST_XML_SetB,C10H11N5,201.233,1,357.179771,CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N
"1,6-dibromohexane",BrCCCCCCBr,NIST_XML_SetB,C6H12Br2,243.97,5,247.47,BrCCCCCCBr
"1,11-dibromoundecane",BrCCCCCCCCCCCBr,NIST_XML_SetB,C11H22Br2,314.105,10,394.92,BrCCCCCCCCCCCBr
1-butyl-3-methylimidazolium thiocyanate,CCCCn1cc[n+](C)c1.N#C[S-],NIST_XML_SetB,C9H15N3S,197.307,3,319.6286244,CCCCn1cc[n+](C)c1.N#C[S-]
"n-butyl-4-(n',n'-dimethylammonium)pyridinium bis(trifluoromethylsulfonyl)imid",CCCCn1ccc(=[N+](C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C13H19F6N3O4S2,459.434,5,611.042164936,CCCCn1ccc(=[N+](C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1-chloropropane,CCCCl,NIST_XML_SetB,C3H7Cl,78.542,1,131.33,CCCCl
dodecane,CCCCCCCCCCCC,NIST_XML_SetB,C12H26,170.339999999999,9,375.94,CCCCCCCCCCCC
1-chloropentane,CCCCCCl,NIST_XML_SetB,C5H11Cl,106.596,3,188.46,CCCCCCl
"3-cyano-1-octylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCCCCC[n+]1cccc(C#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C16H21F6N3O4S2,497.483,9,709.0,CCCCCCCC[n+]1cccc(C#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoro-1-heptanol",OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NIST_XML_SetB,C7H3F13O,350.073999999999,5,476.8,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
