chemical_compound_name,formula,Cp_298_J_per_molK,smiles,pubchem_cid,pubchem_matched_name,n_methods,methods,row_count
1-nitropropane,C3H7NO2,102.091,CCC[N+](=O)[O-],7903.0,1-nitropropane,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
1-pentanamine,C5H13N,130.648,CCCCCN,8060.0,pentan-1-amine,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
1-pentene,C5H10,104.045,C=CCCC,8004.0,pent-1-ene,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
"1-pentene, 2-ethyl-",C7H14,147.377,C=C(CC)CCC,520668.0,3-methylidenehexane,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
1-pentyne,C5H8,100.425,C#CCCC,12309.0,pent-1-yne,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
1-phenylethyne,C8H6,115.396,C#Cc1ccccc1,10821.0,ethynylbenzene,1,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,1
1-propyne,C3H4,60.192,C#CC,6335.0,prop-1-yne,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
1H-pyrazole,C3H4N2,64.896,c1cn[nH]c1,1048.0,1H-pyrazole,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
"2,2,3,3-tetramethylbutane",C8H18,186.819,CC(C)(C)C(C)(C)C,11675.0,"2,2,3,3-tetramethylbutane",1,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,1
"2,2,3-trimethylbutane",C7H16,162.691,CC(C)C(C)(C)C,10044.0,"2,2,3-trimethylbutane",1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
"2,2,3-trimethylpentane",C8H18,183.458,CCC(C)C(C)(C)C,11255.0,"2,2,3-trimethylpentane",1,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,1
"2,2,4-trimethylpentane",C8H18,182.99,CC(C)CC(C)(C)C,10907.0,"2,2,4-trimethylpentane",1,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,1
