formula,chemical_compound_name,Cp_298_J_per_molK,calculation_method,comment,smiles,pubchem_cid,pubchem_matched_name,lookup_status,smiles_found
C5H10,2-methyl-2-butene,109.401,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC=C(C)C,10553.0,2-methylbut-2-ene,ok,True
C6H10,"2,3-dimethyl-1,3-butadiene",120.328,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C(C)C(=C)C,10566.0,"2,3-dimethylbuta-1,3-diene",ok,True
C3H8O,ethyl methyl ether,84.333,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCOC,10903.0,methoxyethane,ok,True
C5H6,"1,3-cyclopentadiene",74.857,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1=CCC=C1,7612.0,"cyclopenta-1,3-diene",ok,True
C4H8O2,methyl propanoate,111.276,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC(=O)OC,11124.0,methyl propanoate,ok,True
C3H6O2,"2,3-epoxy-1-propanol",84.618,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,OCC1CO1,11164.0,oxiran-2-ylmethanol,ok,True
C6H12,"3,3-dimethyl-1-butene",131.239,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CC(C)(C)C,11210.0,"3,3-dimethylbut-1-ene",ok,True
C5H10,3-methyl-1-butene,106.622,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CC(C)C,11239.0,3-methylbut-1-ene,ok,True
C5H10,2-methyl-1-butene,106.498,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C(C)CC,11240.0,2-methylbut-1-ene,ok,True
C6H12,"2,3-dimethyl-1-butene",129.639,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C(C)C(C)C,11249.0,"2,3-dimethylbut-1-ene",ok,True
