name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,heat_capacity,mw_bin,rb_bin
n-methyloctylamine,CCCCCCCCNC,Thermo_Experimental,C9H21N,143.274,7.0,1.0,1.0,12.03,2.57,-11,78.5,300.45,100-150,5-7
isopropanol,CC(C)O,Thermo_Experimental,C3H8O,60.096,0.0,1.0,1.0,20.23,0.39,-89.5,82.21,155.17,<100,0-1
tris(hydroxyethyl) isocyanurate,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,Thermo_Experimental,C9H15N3O6,261.234,6.0,3.0,6.0,126.69,-3.85,136,661.1,387.54,260-350,5-7
diisobutylamine,CC(C)CNCC(C)C,Thermo_Experimental,C8H19N,129.247,4.0,1.0,1.0,12.03,1.89,-75.25,139.6,271.2,100-150,2-4
caspan,C[Hg]Cl,Thermo_Experimental,CH3ClHg,251.078,0.0,0.0,0.0,0,1.27,167,170,84.46,200-260,0-1
"3-methyl-1,2-cyclohexanedione",CC1CCCC(=O)C1=O,Thermo_Experimental,C7H10O2,126.155,0.0,0.0,2.0,34.14,0.94,62,70.5,212.62,100-150,0-1
phosphoryl chloride,O=P(Cl)(Cl)Cl,Thermo_Experimental,Cl3OP,153.332,0.0,0.0,1.0,17.07,2.81,1.25,105.5,69.39,150-200,0-1
methyl 4-methylbenzoate,COC(=O)c1ccc(C)cc1,Thermo_Experimental,C9H10O2,150.177,2.0,0.0,2.0,26.3,1.78,34,217.22,242.63,150-200,2-4
citiolone,CC(=O)NC1CCSC1=O,Thermo_Experimental,C6H9NO2S,159.21,1.0,1.0,3.0,46.17,0.15,111,298.7,226.15,150-200,0-1
2-butanol,CCC(C)O,Thermo_Experimental,C4H10O,74.123,1.0,1.0,1.0,20.23,0.78,-115,99.4,196.77,<100,0-1
neopentyl glycol,CC(C)(CO)CO,Thermo_Experimental,C5H12O2,104.149,2.0,2.0,2.0,40.46,0.0,127,207,198.84,100-150,2-4
(3-mercaptopropyl)trimethoxysilane,CO[Si](CCCS)(OC)OC,Thermo_Experimental,C6H16O3SSi,196.344,6.0,1.0,4.0,27.69,1.18,-97.8,214,310.19,150-200,5-7
4-methoxy-4-oxobutanoic acid,COC(=O)CCC(=O)O,Thermo_Experimental,C5H8O4,132.115,4.0,1.0,3.0,63.6,0.02,57.75,244.58,198.73,100-150,2-4
2-butoxyethanol,CCCCOCCO,Thermo_Experimental,C6H14O2,118.176,5.0,1.0,2.0,29.46,0.8,-70,171,272.88,100-150,5-7
eptc,CCCN(CCC)C(=O)SCC,Thermo_Experimental,C9H19NOS,189.324,6.0,0.0,2.0,20.31,2.98,34.84,127.22,337.62,150-200,5-7
"1,1-dichloroacetone",CC(=O)C(Cl)Cl,Thermo_Experimental,C3H4Cl2O,126.97,1.0,0.0,1.0,17.07,1.38,-54.81,120,128.27,100-150,0-1
triethylene glycol monobutyl ether,CCCCOCCOCCOCCO,Thermo_Experimental,C10H22O4,206.282,11.0,1.0,4.0,47.92,0.83,-35.2,278,383.24,200-260,8-11
diethyl malonate,CCOC(=O)CC(=O)OCC,Thermo_Experimental,C7H12O4,160.169,6.0,0.0,4.0,52.6,0.5,-50,200,299.78,150-200,5-7
1-nonanol,CCCCCCCCCO,Thermo_Experimental,C9H20O,144.258,7.0,1.0,1.0,20.23,2.73,-5,213.7,340.52,100-150,5-7
dihexylamine,CCCCCCNCCCCCC,Thermo_Experimental,C12H27N,185.355,10.0,1.0,1.0,12.03,3.74,-5.05,236,388.19,150-200,8-11
bis(2-ethylhexyl) sebacate,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,Thermo_Experimental,C26H50O4,426.682,23.0,0.0,4.0,52.6,7.63,-48,248,827.99,>=350,12+
diethyl ethylphosphonate,CCOP(=O)(CC)OCC,Thermo_Experimental,C6H15O3P,166.157,5.0,0.0,3.0,35.53,2.27,197.78,82.5,279.84,150-200,5-7
hydrazine,NN,Thermo_Experimental,H4N2,32.046,0.0,2.0,2.0,52.04,-1.18,2,113.55,98.83,<100,0-1
methyl carbazate,COC(=O)NN,Thermo_Experimental,C2H6N2O2,90.082,1.0,2.0,3.0,64.35,-0.78,72,153.13,139.04,<100,0-1
fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Thermo_Experimental,C17H18F3NO,309.331,6.0,1.0,2.0,21.26,4.44,180.5,395.1,467.02,260-350,5-7
methional,CSCCC=O,Thermo_Experimental,C4H8OS,104.174,3.0,0.0,2.0,17.07,0.94,-58,62,161.84,100-150,2-4
pivaloyl chloride,CC(C)(C)C(=O)Cl,Thermo_Experimental,C5H9ClO,120.579,1.0,0.0,1.0,17.07,1.8,-57,40.83,185.58,100-150,0-1
2-ethylhexyl chloroformate,CCCCC(CC)COC(=O)Cl,Thermo_Experimental,C9H17ClO2,192.686,7.0,0.0,2.0,26.3,3.58,-24.71,207,324.59,150-200,5-7
"1,2,5,6,9,10-hexabromocyclododecane",BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,Thermo_Experimental,C12H18Br6,641.7,0.0,0.0,0.0,0,6.92,167,619.79,480.37,>=350,0-1
ethyl nonanoate,CCCCCCCCC(=O)OCC,Thermo_Experimental,C11H22O2,186.295,9.0,0.0,2.0,26.3,3.3,-44.5,119,361.94,150-200,8-11
octanenitrile,CCCCCCCC#N,Thermo_Experimental,C8H15N,125.215,5.0,0.0,1.0,23.79,2.87,-45.6,202,246.11,100-150,5-7
ethyl myristate,CCCCCCCCCCCCCC(=O)OCC,Thermo_Experimental,C16H32O2,256.43,14.0,0.0,2.0,26.3,5.25,12.15,179,508.96,200-260,12+
9-decen-1-ol,C=CCCCCCCCCO,Thermo_Experimental,C10H20O,156.269,8.0,1.0,1.0,20.23,2.9,-13,236,313.16,150-200,8-11
hexadecylamine,CCCCCCCCCCCCCCCCN,Thermo_Experimental,C16H35N,241.463,14.0,1.0,1.0,26.02,5.43,46.8,321,505.18,200-260,12+
lethane,CCCCOCCOCCSC#N,Thermo_Experimental,C9H17NO2S,203.307,9.0,0.0,4.0,42.25,2.03,61.89,122.5,337.79,200-260,8-11
n-methylethanolamine,CNCCO,Thermo_Experimental,C3H9NO,75.111,2.0,2.0,2.0,32.26,-0.8,-4.5,64.44,191.76,<100,2-4
tert-butyl ethyl ether,CCOC(C)(C)C,Thermo_Experimental,C6H14O,102.177,2.0,0.0,1.0,9.23,1.82,-94,72.7,220.27,100-150,2-4
methyl formate,COC=O,Thermo_Experimental,C2H4O2,60.052,1.0,0.0,2.0,26.3,-0.21,-100,31.6,92.69,<100,0-1
diisobutyl adipate,CC(C)COC(=O)CCCCC(=O)OCC(C)C,Thermo_Experimental,C14H26O4,258.358,11.0,0.0,4.0,52.6,2.95,-20,279,472.63,200-260,8-11
perchlorate,[O-][Cl+3]([O-])([O-])[O-],Thermo_Experimental,ClO4-,99.449,0.0,0.0,4.0,92.24,-4.76,262.5,-78.82,67.38,<100,0-1
ethylmethylnitrosamine,CCN(C)N=O,Thermo_Experimental,C3H8N2O,88.11,1.0,0.0,2.0,32.67,0.62,-97,163,154.02,<100,0-1
1-pentanol,CCCCCO,Thermo_Experimental,C5H12O,88.15,3.0,1.0,1.0,20.23,1.17,-78.45,137.6,208.27,<100,2-4
n-nitrosodipropylamine,CCCN(CCC)N=O,Thermo_Experimental,C6H14N2O,130.191,4.0,0.0,2.0,32.67,1.79,-98,206,243.72,100-150,2-4
