feature_1,feature_2,model,n_samples_used,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,best_single_mae_among_pair_features,mae_improvement_over_best_single,pearson_f1_cp,pearson_f2_cp,spearman_f1_cp,spearman_f2_cp,pair_pearson_corr,pair_spearman_corr,pair_redundancy_flag,ig_pair,ig_pair_gain_over_best_single,ig_feature_1,ig_feature_2,ig_n_rows,skipped,skip_reason
molecular_weight,H_bond_donors,gbr,198,50.33990839706949,8.161395656883826,79.03417874495204,0.6687319653063016,50.547121290704766,0.20721289363527262,0.8344647797898637,0.0006785711616585098,0.8387825507550014,-0.0025430764720517016,-0.12596511023400683,-0.1758552266775145,False,0.7969068272258193,0.09594440737185972,0.7009624198539596,0.02386572061466863,198,False,
TPSA,logP,rf,198,51.27617114760173,8.676589668143189,74.10324363470758,0.7267758219280277,70.38379033922403,19.107619191622305,0.21875285968898114,0.7772973746635984,0.22252892347644967,0.6826223255844466,-0.30886507972072585,-0.3028863625448074,False,0.6434677103785111,0.23512244791976977,0.03937921506054454,0.40834526245874136,198,False,
molecular_weight,H_bond_donors,linear,198,51.72702931966972,7.961211096997589,82.52294872791407,0.6392468663284037,50.547121290704766,-1.1799080289649524,0.8344647797898637,0.0006785711616585098,0.8387825507550014,-0.0025430764720517016,-0.12596511023400683,-0.1758552266775145,False,0.7969068272258193,0.09594440737185972,0.7009624198539596,0.02386572061466863,198,False,
molecular_weight,boiling_point,linear,198,51.7815191420076,8.198566506176705,84.79392679763856,0.6198721560166316,50.547121290704766,-1.2343978513028375,0.8344647797898637,0.1373730264160619,0.8387825507550014,0.5358102744246874,0.3185953799453114,0.6282714864223542,False,0.8242532244334231,0.12329080457946351,0.7009624198539596,0.23872781589235248,198,False,
molecular_weight,melting_point,linear,198,51.78414465130247,9.149716763364266,89.44298469716888,0.5645502152860139,50.547121290704766,-1.2370233605977035,0.8344647797898637,-0.04911838477019179,0.8387825507550014,0.17312100720536885,0.14082789771343276,0.3676934227397472,False,0.7946681996761542,0.09370577982219463,0.7009624198539596,0.06156896210398832,198,False,
molecular_weight,H_bond_donors,ridge,198,51.82143017411626,7.926688106340925,82.55083181540951,0.6399519657014894,50.547121290704766,-1.2743088834114928,0.8344647797898637,0.0006785711616585098,0.8387825507550014,-0.0025430764720517016,-0.12596511023400683,-0.1758552266775145,False,0.7969068272258193,0.09594440737185972,0.7009624198539596,0.02386572061466863,198,False,
molecular_weight,H_bond_donors,elasticnet,198,51.832052833326316,7.922999557305921,82.55467178890407,0.6400235741517512,50.547121290704766,-1.2849315426215497,0.8344647797898637,0.0006785711616585098,0.8387825507550014,-0.0025430764720517016,-0.12596511023400683,-0.1758552266775145,False,0.7969068272258193,0.09594440737185972,0.7009624198539596,0.02386572061466863,198,False,
molecular_weight,boiling_point,ridge,198,51.8718686147462,8.128650300862253,84.6496711646816,0.6221986471805884,50.547121290704766,-1.3247473240414323,0.8344647797898637,0.1373730264160619,0.8387825507550014,0.5358102744246874,0.3185953799453114,0.6282714864223542,False,0.8242532244334231,0.12329080457946351,0.7009624198539596,0.23872781589235248,198,False,
molecular_weight,boiling_point,elasticnet,198,51.882253622875076,8.120963975330652,84.63427139460826,0.6224490091324505,50.547121290704766,-1.3351323321703106,0.8344647797898637,0.1373730264160619,0.8387825507550014,0.5358102744246874,0.3185953799453114,0.6282714864223542,False,0.8242532244334231,0.12329080457946351,0.7009624198539596,0.23872781589235248,198,False,
molecular_weight,melting_point,ridge,198,51.892611162294834,9.040326332882806,89.2319780074387,0.5683200600474679,50.547121290704766,-1.3454898715900683,0.8344647797898637,-0.04911838477019179,0.8387825507550014,0.17312100720536885,0.14082789771343276,0.3676934227397472,False,0.7946681996761542,0.09370577982219463,0.7009624198539596,0.06156896210398832,198,False,
molecular_weight,melting_point,elasticnet,198,51.9050583012272,9.027746107406411,89.20818159405734,0.5687447367403565,50.547121290704766,-1.3579370105224342,0.8344647797898637,-0.04911838477019179,0.8387825507550014,0.17312100720536885,0.14082789771343276,0.3676934227397472,False,0.7946681996761542,0.09370577982219463,0.7009624198539596,0.06156896210398832,198,False,
H_bond_acceptors,logP,rf,198,52.53110649485535,8.564572851014852,73.93025933777983,0.7283317776871414,70.38379033922403,17.852683844368684,0.28356957048634435,0.7772973746635984,0.28897069740063147,0.6826223255844466,-0.22157116771140078,-0.2602605372070979,False,0.6658310764390871,0.25748581398034576,0.05207864109597993,0.40834526245874136,198,False,
molecular_weight,rotatable_bonds,svr,198,52.601585100482154,10.545057020105412,92.15121685357309,0.6040367354652217,43.27999617938966,-9.321588921092491,0.8344647797898637,0.9186743672241442,0.8387825507550014,0.857004422556517,0.7155645619801079,0.6984493921379618,False,1.0239042707683799,0.23178899081619286,0.7009624198539596,0.792115279952187,198,False,
molecular_weight,TPSA,linear,198,53.960541664314775,7.832904600679753,84.19164912977845,0.6279335939433954,50.547121290704766,-3.413420373610009,0.8344647797898637,0.21875285968898114,0.8387825507550014,0.22252892347644967,0.1693248993820929,0.21691546677177267,False,0.8246475912273579,0.1236851713733983,0.7009624198539596,0.03937921506054454,198,False,
molecular_weight,TPSA,ridge,198,54.07422976012873,7.801334835061726,84.19106002693731,0.6288090189394665,50.547121290704766,-3.5271084694239647,0.8344647797898637,0.21875285968898114,0.8387825507550014,0.22252892347644967,0.1693248993820929,0.21691546677177267,False,0.8246475912273579,0.1236851713733983,0.7009624198539596,0.03937921506054454,198,False,
