name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,heat_capacity,canonical_smiles
"1,5-hexadiene",C=CCCC=C,Thermo_Experimental,C6H10,82.146,3,0,0,0.0,2.14,-141.0,59.2,162.94,C=CCCC=C
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,Thermo_Experimental,C8H18,114.232,2,0,0,0.0,3.08,-107.0,99.21,238.9,CC(C)CC(C)(C)C
2-methylbutyl isovalerate,CCC(C)COC(=O)CC(C)C,Thermo_Experimental,C10H20O2,172.268,6,0,2,26.3,2.62,-58.36,193.0,332.46,CCC(C)COC(=O)CC(C)C
hydroxylamine,NO,Thermo_Experimental,H3NO,33.03,0,2,2,46.25,-0.67,33.0,58.0,55.86,NO
butyltin trichloride,CCCC[Sn](Cl)(Cl)Cl,Thermo_Experimental,C4H9Cl3Sn,282.186,2,0,0,0.0,3.44,-63.0,102.0,225.24,CCC[CH2][Sn]([Cl])([Cl])[Cl]
1-propoxy-2-propanol,CCCOCC(C)O,Thermo_Experimental,C6H14O2,118.176,4,1,2,29.46,0.79,-80.0,150.2,228.37,CCCOCC(C)O
2-butyl-1-octanol,CCCCCCC(CO)CCCC,Thermo_Experimental,C12H26O,186.339,9,1,1,20.23,3.76,-2.33,147.0,384.27,CCCCCCC(CO)CCCC
dibutyl nonanedioate,CCCCOC(=O)CCCCCCCC(=O)OCCCC,Thermo_Experimental,C17H32O4,300.439,16,0,4,52.6,4.4,92.86,336.0,561.93,CCCCOC(=O)CCCCCCCC(=O)OCCCC
allyl bromide,C=CCBr,Thermo_Experimental,C3H5Br,120.977,1,0,0,0.0,1.57,-119.0,70.1,116.34,C=CCBr
neodymium chloride,Cl[Nd](Cl)Cl,Thermo_Experimental,Cl3Nd,250.599,0,0,0,0.0,2.07,759.0,1600.0,57.03,[Cl][Nd]([Cl])[Cl]
diisooctyl adipate,CC(C)CCCCCOC(=O)CCCCC(=O)OCCCCCC(C)C,Thermo_Experimental,C22H42O4,370.574,19,0,4,52.6,6.07,-70.0,212.5,709.98,CC(C)CCCCCOC(=O)CCCCC(=O)OCCCCCC(C)C
copper(ii) dimethyldithiocarbamate,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2],Thermo_Experimental,C6H12CuN2S4,303.99,0,0,4,6.48,0.76,260.0,415.51,318.7,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2]
pentanal,CCCCC=O,Thermo_Experimental,C5H10O,86.134,3,0,1,17.07,1.38,-91.5,103.0,166.23,CCCCC=O
octamylamine,CC(C)CCCC(C)NCCC(C)C,Thermo_Experimental,C13H29N,199.382,8,1,1,12.03,3.84,-29.22,100.5,417.44,CC(C)CCCC(C)NCCC(C)C
methyl cyanoacetate,COC(=O)CC#N,Thermo_Experimental,C4H5NO2,99.089,2,0,3,50.09,0.07,-22.5,203.0,142.35,COC(=O)CC#N
isononanamine,CC(C)CCCCCCN,Thermo_Experimental,C9H21N,143.274,6,1,1,26.02,2.55,-13.7,204.46,300.45,CC(C)CCCCCCN
diptocarpamidine,CC(C)NC(=O)NC(C)C,Thermo_Experimental,C7H16N2O,144.218,2,2,1,41.13,1.1,192.0,239.94,273.37,CC(C)NC(=O)NC(C)C
2-ethylhexyl cyanoacetate,CCCCC(CC)COC(=O)CC#N,Thermo_Experimental,C11H19NO2,197.278,8,0,3,50.09,2.66,32.9,337.99,356.75,CCCCC(CC)COC(=O)CC#N
tributylamine,CCCCN(CCCC)CCCC,Thermo_Experimental,C12H27N,185.355,9,0,1,3.24,3.69,-70.0,212.78,388.19,CCCCN(CCCC)CCCC
tetraethyl orthosilicate,CCO[Si](OCC)(OCC)OCC,Thermo_Experimental,C8H20O4Si,208.33,8,0,4,36.92,1.57,-85.0,168.0,363.42,CCO[Si](OCC)(OCC)OCC
"1,2-epoxytetradecane",CCCCCCCCCCCCC1CO1,Thermo_Experimental,C14H28O,212.377,11,0,1,12.53,4.7,20.0,95.56,430.37,CCCCCCCCCCCCC1CO1
butadiene monoxide,C=CC1CO1,Thermo_Experimental,C4H6O,70.091,1,0,1,12.53,0.57,-135.0,68.0,121.51,C=CC1CO1
"1,3-dimethylbutylamine",CC(C)CC(C)N,Thermo_Experimental,C6H15N,101.193,2,1,1,26.02,1.38,155.5,108.81,212.7,CC(C)CC(C)N
2-(octylthio)ethanol,CCCCCCCCSCCO,Thermo_Experimental,C10H22OS,190.352,9,1,2,20.23,3.07,0.0,98.0,358.77,CCCCCCCCSCCO
ethyl caproate,CCCCCC(=O)OCC,Thermo_Experimental,C8H16O2,144.214,6,0,2,26.3,2.13,-67.0,165.0,273.37,CCCCCC(=O)OCC
dodecylamine,CCCCCCCCCCCCN,Thermo_Experimental,C12H27N,185.355,10,1,1,26.02,3.87,29.0,259.0,388.19,CCCCCCCCCCCCN
tributyl phosphate,CCCCOP(=O)(OCCCC)OCCCC,Thermo_Experimental,C12H27O4P,266.318,12,0,4,44.76,4.54,-80.0,289.0,379.38,CCCCOP(=O)(OCCCC)OCCCC
diallyl disulfide,C=CCSSCC=C,Thermo_Experimental,C6H10S2,146.28,5,0,2,0.0,2.74,-50.49,79.0,212.73,C=CCSSCC=C
"2,6-dimethyl-2-heptanol",CC(C)CCCC(C)(C)O,Thermo_Experimental,C9H20O,144.258,4,1,1,20.23,2.58,-10.0,170.0,296.51,CC(C)CCCC(C)(C)O
1-vinylazepan-2-one,C=CN1CCCCCC1=O,Thermo_Experimental,C8H13NO,139.198,1,0,1,20.31,1.53,34.0,210.65,249.71,C=CN1CCCCCC1=O
